【ＪＩＳコードのリスト】
        ＪＩＳ Ｘ ０２０８

JIS     SJIS    char    区点
3a44    8dc2    債      26-36
3a45    8dc3    催      26-37
3a46    8dc4    再      26-38
3a47    8dc5    最      26-39
3a48    8dc6    哉      26-40
3a49    8dc7    塞      26-41
3a4a    8dc8    妻      26-42
3a4b    8dc9    宰      26-43
3a4c    8dca    彩      26-44
3a4d    8dcb    才      26-45
3a4e    8dcc    採      26-46
3a4f    8dcd    栽      26-47
3a50    8dce    歳      26-48
3a51    8dcf    済      26-49
3a52    8dd0    災      26-50
3a53    8dd1    采      26-51
3a54    8dd2    犀      26-52
3a55    8dd3    砕      26-53
3a56    8dd4    砦      26-54
3a57    8dd5    祭      26-55
3a58    8dd6    斎      26-56
3a59    8dd7    細      26-57
3a5a    8dd8    菜      26-58
3a5b    8dd9    裁      26-59
3a5c    8dda    載      26-60
3a5d    8ddb    際      26-61
3a5e    8ddc    剤      26-62
3a5f    8ddd    在      26-63
3a60    8dde    材      26-64
3a61    8ddf    罪      26-65
3a62    8de0    財      26-66
3a63    8de1    冴      26-67
3a64    8de2    坂      26-68
3a65    8de3    阪      26-69
3a66    8de4    堺      26-70
3a67    8de5    榊      26-71
3a68    8de6    肴      26-72
3a69    8de7    咲      26-73
3a6a    8de8    崎      26-74
3a6b    8de9    埼      26-75
3a6c    8dea    碕      26-76
3a6d    8deb    鷺      26-77
3a6e    8dec    作      26-78
3a6f    8ded    削      26-79
3a70    8dee    咋      26-80
3a71    8def    搾      26-81
3a72    8df0    昨      26-82
3a73    8df1    朔      26-83
3a74    8df2    柵      26-84
3a75    8df3    窄      26-85
3a76    8df4    策      26-86
3a77    8df5    索      26-87
3a78    8df6    錯      26-88
3a79    8df7    桜      26-89
3a7a    8df8    鮭      26-90
3a7b    8df9    笹      26-91
3a7c    8dfa    匙      26-92
3a7d    8dfb    冊      26-93
3a7e    8dfc    刷      26-94
3b21    8e40    察      27-01
3b22    8e41    拶      27-02
3b23    8e42    撮      27-03
3b24    8e43    擦      27-04
3b25    8e44    札      27-05
3b26    8e45    殺      27-06
3b27    8e46    薩      27-07
3b28    8e47    雑      27-08
3b29    8e48    皐      27-09
3b2a    8e49    鯖      27-10
3b2b    8e4a    捌      27-11
3b2c    8e4b    錆      27-12
3b2d    8e4c    鮫      27-13
3b2e    8e4d    皿      27-14
3b2f    8e4e    晒      27-15
3b30    8e4f    三      27-16
3b31    8e50    傘      27-17
3b32    8e51    参      27-18
3b33    8e52    山      27-19
3b34    8e53    惨      27-20
3b35    8e54    撒      27-21
3b36    8e55    散      27-22
3b37    8e56    桟      27-23
3b38    8e57    燦      27-24
3b39    8e58    珊      27-25
3b3a    8e59    産      27-26
3b3b    8e5a    算      27-27
3b3c    8e5b    纂      27-28
3b3d    8e5c    蚕      27-29
3b3e    8e5d    讃      27-30
3b3f    8e5e    賛      27-31
3b40    8e5f    酸      27-32
3b41    8e60    餐      27-33
3b42    8e61    斬      27-34
3b43    8e62    暫      27-35
3b44    8e63    残      27-36
3b45    8e64    仕      27-37
3b46    8e65    仔      27-38
3b47    8e66    伺      27-39
3b48    8e67    使      27-40
3b49    8e68    刺      27-41
3b4a    8e69    司      27-42
3b4b    8e6a    史      27-43
3b4c    8e6b    嗣      27-44
3b4d    8e6c    四      27-45
3b4e    8e6d    士      27-46
3b4f    8e6e    始      27-47
3b50    8e6f    姉      27-48
3b51    8e70    姿      27-49
3b52    8e71    子      27-50
3b53    8e72    屍      27-51
3b54    8e73    市      27-52
3b55    8e74    師      27-53
3b56    8e75    志      27-54
3b57    8e76    思      27-55
3b58    8e77    指      27-56
3b59    8e78    支      27-57
3b5a    8e79    孜      27-58
3b5b    8e7a    斯      27-59
3b5c    8e7b    施      27-60
3b5d    8e7c    旨      27-61
3b5e    8e7d    枝      27-62
3b5f    8e7e    止      27-63
3b60    8e80    死      27-64
3b61    8e81    氏      27-65
3b62    8e82    獅      27-66
3b63    8e83    祉      27-67
3b64    8e84    私      27-68
3b65    8e85    糸      27-69
3b66    8e86    紙      27-70
3b67    8e87    紫      27-71
3b68    8e88    肢      27-72
3b69    8e89    脂      27-73
3b6a    8e8a    至      27-74
3b6b    8e8b    視      27-75
3b6c    8e8c    詞      27-76
3b6d    8e8d    詩      27-77
3b6e    8e8e    試      27-78
3b6f    8e8f    誌      27-79
3b70    8e90    諮      27-80
3b71    8e91    資      27-81
3b72    8e92    賜      27-82
3b73    8e93    雌      27-83
3b74    8e94    飼      27-84
3b75    8e95    歯      27-85
3b76    8e96    事      27-86
3b77    8e97    似      27-87
3b78    8e98    侍      27-88
3b79    8e99    児      27-89
3b7a    8e9a    字      27-90
3b7b    8e9b    寺      27-91
3b7c    8e9c    慈      27-92
3b7d    8e9d    持      27-93
3b7e    8e9e    時      27-94
3c21    8e9f    次      28-01
3c22    8ea0    滋      28-02
3c23    8ea1    治      28-03
3c24    8ea2    爾      28-04
3c25    8ea3    璽      28-05
3c26    8ea4    痔      28-06
3c27    8ea5    磁      28-07
3c28    8ea6    示      28-08
3c29    8ea7    而      28-09
3c2a    8ea8    耳      28-10
3c2b    8ea9    自      28-11
3c2c    8eaa    蒔      28-12
3c2d    8eab    辞      28-13
3c2e    8eac    汐      28-14
3c2f    8ead    鹿      28-15
3c30    8eae    式      28-16
3c31    8eaf    識      28-17
3c32    8eb0    鴫      28-18
3c33    8eb1    竺      28-19
3c34    8eb2    軸      28-20
3c35    8eb3    宍      28-21
3c36    8eb4    雫      28-22
3c37    8eb5    七      28-23
3c38    8eb6    叱      28-24
3c39    8eb7    執      28-25
3c3a    8eb8    失      28-26
3c3b    8eb9    嫉      28-27
3c3c    8eba    室      28-28
3c3d    8ebb    悉      28-29
3c3e    8ebc    湿      28-30
3c3f    8ebd    漆      28-31
3c40    8ebe    疾      28-32
3c41    8ebf    質      28-33
3c42    8ec0    実      28-34
3c43    8ec1    蔀      28-35
3c44    8ec2    篠      28-36
3c45    8ec3    偲      28-37
3c46    8ec4    柴      28-38
3c47    8ec5    芝      28-39
3c48    8ec6    屡      28-40
3c49    8ec7    蕊      28-41
3c4a    8ec8    縞      28-42
3c4b    8ec9    舎      28-43
3c4c    8eca    写      28-44
3c4d    8ecb    射      28-45
3c4e    8ecc    捨      28-46
3c4f    8ecd    赦      28-47
3c50    8ece    斜      28-48
3c51    8ecf    煮      28-49
3c52    8ed0    社      28-50
3c53    8ed1    紗      28-51
3c54    8ed2    者      28-52
3c55    8ed3    謝      28-53
3c56    8ed4    車      28-54
3c57    8ed5    遮      28-55
3c58    8ed6    蛇      28-56
3c59    8ed7    邪      28-57
3c5a    8ed8    借      28-58
3c5b    8ed9    勺      28-59
3c5c    8eda    尺      28-60
3c5d    8edb    杓      28-61
3c5e    8edc    灼      28-62
3c5f    8edd    爵      28-63
3c60    8ede    酌      28-64
3c61    8edf    釈      28-65
3c62    8ee0    錫      28-66
3c63    8ee1    若      28-67
3c64    8ee2    寂      28-68
3c65    8ee3    弱      28-69
3c66    8ee4    惹      28-70
3c67    8ee5    主      28-71
3c68    8ee6    取      28-72
3c69    8ee7    守      28-73
3c6a    8ee8    手      28-74
3c6b    8ee9    朱      28-75
3c6c    8eea    殊      28-76
3c6d    8eeb    狩      28-77
3c6e    8eec    珠      28-78
3c6f    8eed    種      28-79
3c70    8eee    腫      28-80
3c71    8eef    趣      28-81
3c72    8ef0    酒      28-82
3c73    8ef1    首      28-83
3c74    8ef2    儒      28-84
3c75    8ef3    受      28-85
3c76    8ef4    呪      28-86
3c77    8ef5    寿      28-87
3c78    8ef6    授      28-88
3c79    8ef7    樹      28-89
3c7a    8ef8    綬      28-90
3c7b    8ef9    需      28-91
3c7c    8efa    囚      28-92
3c7d    8efb    収      28-93
3c7e    8efc    周      28-94
3d21    8f40    宗      29-01
3d22    8f41    就      29-02
3d23    8f42    州      29-03
3d24    8f43    修      29-04
3d25    8f44    愁      29-05
3d26    8f45    拾      29-06
3d27    8f46    洲      29-07
3d28    8f47    秀      29-08
3d29    8f48    秋      29-09
3d2a    8f49    終      29-10
3d2b    8f4a    繍      29-11
3d2c    8f4b    習      29-12
3d2d    8f4c    臭      29-13
3d2e    8f4d    舟      29-14
3d2f    8f4e    蒐      29-15
3d30    8f4f    衆      29-16
3d31    8f50    襲      29-17
3d32    8f51    讐      29-18
3d33    8f52    蹴      29-19
3d34    8f53    輯      29-20
3d35    8f54    週      29-21
3d36    8f55    酋      29-22
3d37    8f56    酬      29-23
3d38    8f57    集      29-24
3d39    8f58    醜      29-25
3d3a    8f59    什      29-26
3d3b    8f5a    住      29-27
3d3c    8f5b    充      29-28
3d3d    8f5c    十      29-29
3d3e    8f5d    従      29-30
3d3f    8f5e    戎      29-31
3d40    8f5f    柔      29-32
3d41    8f60    汁      29-33
3d42    8f61    渋      29-34
3d43    8f62    獣      29-35
3d44    8f63    縦      29-36
3d45    8f64    重      29-37
3d46    8f65    銃      29-38
3d47    8f66    叔      29-39
3d48    8f67    夙      29-40
3d49    8f68    宿      29-41
3d4a    8f69    淑      29-42
3d4b    8f6a    祝      29-43
3d4c    8f6b    縮      29-44
3d4d    8f6c    粛      29-45
3d4e    8f6d    塾      29-46
3d4f    8f6e    熟      29-47
3d50    8f6f    出      29-48
3d51    8f70    術      29-49
3d52    8f71    述      29-50
3d53    8f72    俊      29-51
3d54    8f73    峻      29-52
3d55    8f74    春      29-53
3d56    8f75    瞬      29-54
3d57    8f76    竣      29-55
3d58    8f77    舜      29-56
3d59    8f78    駿      29-57
3d5a    8f79    准      29-58
3d5b    8f7a    循      29-59
3d5c    8f7b    旬      29-60
3d5d    8f7c    楯      29-61
3d5e    8f7d    殉      29-62
3d5f    8f7e    淳      29-63
3d60    8f80    準      29-64
3d61    8f81    潤      29-65
3d62    8f82    盾      29-66
3d63    8f83    純      29-67
3d64    8f84    巡      29-68
3d65    8f85    遵      29-69
3d66    8f86    醇      29-70
3d67    8f87    順      29-71
3d68    8f88    処      29-72
3d69    8f89    初      29-73
3d6a    8f8a    所      29-74
3d6b    8f8b    暑      29-75
3d6c    8f8c    曙      29-76
3d6d    8f8d    渚      29-77
3d6e    8f8e    庶      29-78
3d6f    8f8f    緒      29-79
3d70    8f90    署      29-80
3d71    8f91    書      29-81
3d72    8f92    薯      29-82
3d73    8f93    藷      29-83
3d74    8f94    諸      29-84
3d75    8f95    助      29-85
3d76    8f96    叙      29-86
3d77    8f97    女      29-87
3d78    8f98    序      29-88
3d79    8f99    徐      29-89
3d7a    8f9a    恕      29-90
3d7b    8f9b    鋤      29-91
3d7c    8f9c    除      29-92
3d7d    8f9d    傷      29-93
3d7e    8f9e    償      29-94
3e21    8f9f    勝      30-01
3e22    8fa0    匠      30-02
3e23    8fa1    升      30-03
3e24    8fa2    召      30-04
3e25    8fa3    哨      30-05
3e26    8fa4    商      30-06
3e27    8fa5    唱      30-07
3e28    8fa6    嘗      30-08
3e29    8fa7    奨      30-09
3e2a    8fa8    妾      30-10
3e2b    8fa9    娼      30-11
3e2c    8faa    宵      30-12
3e2d    8fab    将      30-13
3e2e    8fac    小      30-14
3e2f    8fad    少      30-15
3e30    8fae    尚      30-16
3e31    8faf    庄      30-17
3e32    8fb0    床      30-18
3e33    8fb1    廠      30-19
3e34    8fb2    彰      30-20
3e35    8fb3    承      30-21
3e36    8fb4    抄      30-22
3e37    8fb5    招      30-23
3e38    8fb6    掌      30-24
3e39    8fb7    捷      30-25
3e3a    8fb8    昇      30-26
3e3b    8fb9    昌      30-27
3e3c    8fba    昭      30-28
3e3d    8fbb    晶      30-29
3e3e    8fbc    松      30-30
3e3f    8fbd    梢      30-31
3e40    8fbe    樟      30-32
3e41    8fbf    樵      30-33
3e42    8fc0    沼      30-34
3e43    8fc1    消      30-35
3e44    8fc2    渉      30-36
3e45    8fc3    湘      30-37
3e46    8fc4    焼      30-38
3e47    8fc5    焦      30-39
3e48    8fc6    照      30-40
3e49    8fc7    症      30-41
3e4a    8fc8    省      30-42
3e4b    8fc9    硝      30-43
3e4c    8fca    礁      30-44
3e4d    8fcb    祥      30-45
3e4e    8fcc    称      30-46
3e4f    8fcd    章      30-47
3e50    8fce    笑      30-48
3e51    8fcf    粧      30-49
3e52    8fd0    紹      30-50
3e53    8fd1    肖      30-51
3e54    8fd2    菖      30-52
3e55    8fd3    蒋      30-53
3e56    8fd4    蕉      30-54
3e57    8fd5    衝      30-55
3e58    8fd6    裳      30-56
3e59    8fd7    訟      30-57
3e5a    8fd8    証      30-58
3e5b    8fd9    詔      30-59
3e5c    8fda    詳      30-60
3e5d    8fdb    象      30-61
3e5e    8fdc    賞      30-62
3e5f    8fdd    醤      30-63
3e60    8fde    鉦      30-64
3e61    8fdf    鍾      30-65
3e62    8fe0    鐘      30-66
3e63    8fe1    障      30-67
3e64    8fe2    鞘      30-68
3e65    8fe3    上      30-69
3e66    8fe4    丈      30-70
3e67    8fe5    丞      30-71
3e68    8fe6    乗      30-72
3e69    8fe7    冗      30-73
3e6a    8fe8    剰      30-74
3e6b    8fe9    城      30-75
3e6c    8fea    場      30-76
3e6d    8feb    壌      30-77
3e6e    8fec    嬢      30-78
3e6f    8fed    常      30-79
3e70    8fee    情      30-80
3e71    8fef    擾      30-81
3e72    8ff0    条      30-82
3e73    8ff1    杖      30-83
3e74    8ff2    浄      30-84
3e75    8ff3    状      30-85
3e76    8ff4    畳      30-86
3e77    8ff5    穣      30-87
3e78    8ff6    蒸      30-88
3e79    8ff7    譲      30-89
3e7a    8ff8    醸      30-90
3e7b    8ff9    錠      30-91
3e7c    8ffa    嘱      30-92
3e7d    8ffb    埴      30-93
3e7e    8ffc    飾      30-94
3f21    9040    拭      31-01
3f22    9041    植      31-02
3f23    9042    殖      31-03
3f24    9043    燭      31-04
3f25    9044    織      31-05
3f26    9045    職      31-06
3f27    9046    色      31-07
3f28    9047    触      31-08
3f29    9048    食      31-09
3f2a    9049    蝕      31-10
3f2b    904a    辱      31-11
3f2c    904b    尻      31-12
3f2d    904c    伸      31-13
3f2e    904d    信      31-14
3f2f    904e    侵      31-15
3f30    904f    唇      31-16
3f31    9050    娠      31-17
3f32    9051    寝      31-18
3f33    9052    審      31-19
3f34    9053    心      31-20
3f35    9054    慎      31-21
3f36    9055    振      31-22
3f37    9056    新      31-23
3f38    9057    晋      31-24
3f39    9058    森      31-25
3f3a    9059    榛      31-26
3f3b    905a    浸      31-27
3f3c    905b    深      31-28
3f3d    905c    申      31-29
3f3e    905d    疹      31-30
3f3f    905e    真      31-31
3f40    905f    神      31-32
3f41    9060    秦      31-33
3f42    9061    紳      31-34
3f43    9062    臣      31-35
3f44    9063    芯      31-36
3f45    9064    薪      31-37
3f46    9065    親      31-38
3f47    9066    診      31-39
3f48    9067    身      31-40
3f49    9068    辛      31-41
3f4a    9069    進      31-42
3f4b    906a    針      31-43
3f4c    906b    震      31-44
3f4d    906c    人      31-45
3f4e    906d    仁      31-46
3f4f    906e    刃      31-47
3f50    906f    塵      31-48
3f51    9070    壬      31-49
3f52    9071    尋      31-50
3f53    9072    甚      31-51
3f54    9073    尽      31-52
3f55    9074    腎      31-53
3f56    9075    訊      31-54
3f57    9076    迅      31-55
3f58    9077    陣      31-56
3f59    9078    靭      31-57
3f5a    9079    笥      31-58
3f5b    907a    諏      31-59
3f5c    907b    須      31-60
3f5d    907c    酢      31-61
3f5e    907d    図      31-62
3f5f    907e    厨      31-63
3f60    9080    逗      31-64
3f61    9081    吹      31-65
3f62    9082    垂      31-66
3f63    9083    帥      31-67
3f64    9084    推      31-68
3f65    9085    水      31-69
3f66    9086    炊      31-70
3f67    9087    睡      31-71
3f68    9088    粋      31-72
3f69    9089    翠      31-73
3f6a    908a    衰      31-74
3f6b    908b    遂      31-75
3f6c    908c    酔      31-76
3f6d    908d    錐      31-77
3f6e    908e    錘      31-78
3f6f    908f    随      31-79
3f70    9090    瑞      31-80
3f71    9091    髄      31-81
3f72    9092    崇      31-82
3f73    9093    嵩      31-83
3f74    9094    数      31-84
3f75    9095    枢      31-85
3f76    9096    趨      31-86
3f77    9097    雛      31-87
3f78    9098    据      31-88
3f79    9099    杉      31-89
3f7a    909a    椙      31-90
3f7b    909b    菅      31-91
3f7c    909c    頗      31-92
3f7d    909d    雀      31-93
3f7e    909e    裾      31-94
4021    909f    澄      32-01
4022    90a0    摺      32-02
4023    90a1    寸      32-03
4024    90a2    世      32-04
4025    90a3    瀬      32-05
4026    90a4    畝      32-06
4027    90a5    是      32-07
4028    90a6    凄      32-08
4029    90a7    制      32-09
402a    90a8    勢      32-10
402b    90a9    姓      32-11
402c    90aa    征      32-12
402d    90ab    性      32-13
402e    90ac    成      32-14
402f    90ad    政      32-15
4030    90ae    整      32-16
4031    90af    星      32-17
4032    90b0    晴      32-18
4033    90b1    棲      32-19
4034    90b2    栖      32-20
4035    90b3    正      32-21
4036    90b4    清      32-22
4037    90b5    牲      32-23
4038    90b6    生      32-24
4039    90b7    盛      32-25
403a    90b8    精      32-26
403b    90b9    聖      32-27
403c    90ba    声      32-28
403d    90bb    製      32-29
403e    90bc    西      32-30
403f    90bd    誠      32-31
4040    90be    誓      32-32
4041    90bf    請      32-33
4042    90c0    逝      32-34
4043    90c1    醒      32-35
4044    90c2    青      32-36
4045    90c3    静      32-37
4046    90c4    斉      32-38
4047    90c5    税      32-39
4048    90c6    脆      32-40
4049    90c7    隻      32-41
404a    90c8    席      32-42
404b    90c9    惜      32-43
404c    90ca    戚      32-44
404d    90cb    斥      32-45
404e    90cc    昔      32-46
404f    90cd    析      32-47
4050    90ce    石      32-48
4051    90cf    積      32-49
4052    90d0    籍      32-50
4053    90d1    績      32-51
4054    90d2    脊      32-52
4055    90d3    責      32-53
4056    90d4    赤      32-54
4057    90d5    跡      32-55
4058    90d6    蹟      32-56
4059    90d7    碩      32-57
405a    90d8    切      32-58
405b    90d9    拙      32-59
405c    90da    接      32-60
405d    90db    摂      32-61
405e    90dc    折      32-62
405f    90dd    設      32-63
4060    90de    窃      32-64
4061    90df    節      32-65
4062    90e0    説      32-66
4063    90e1    雪      32-67
4064    90e2    絶      32-68
4065    90e3    舌      32-69
4066    90e4    蝉      32-70
4067    90e5    仙      32-71
4068    90e6    先      32-72
4069    90e7    千      32-73
406a    90e8    占      32-74
406b    90e9    宣      32-75
406c    90ea    専      32-76
406d    90eb    尖      32-77
406e    90ec    川      32-78
406f    90ed    戦      32-79
4070    90ee    扇      32-80
4071    90ef    撰      32-81
4072    90f0    栓      32-82
4073    90f1    栴      32-83
4074    90f2    泉      32-84
4075    90f3    浅      32-85
4076    90f4    洗      32-86
4077    90f5    染      32-87
4078    90f6    潜      32-88
4079    90f7    煎      32-89
407a    90f8    煽      32-90
407b    90f9    旋      32-91
407c    90fa    穿      32-92
407d    90fb    箭      32-93
407e    90fc    線      32-94
4121    9140    繊      33-01
4122    9141    羨      33-02
4123    9142    腺      33-03
4124    9143    舛      33-04
4125    9144    船      33-05
4126    9145    薦      33-06
4127    9146    詮      33-07
4128    9147    賎      33-08
4129    9148    践      33-09
412a    9149    選      33-10
412b    914a    遷      33-11
412c    914b    銭      33-12
412d    914c    銑      33-13
412e    914d    閃      33-14
412f    914e    鮮      33-15
4130    914f    前      33-16
4131    9150    善      33-17
4132    9151    漸      33-18
4133    9152    然      33-19
4134    9153    全      33-20
4135    9154    禅      33-21
4136    9155    繕      33-22
4137    9156    膳      33-23
4138    9157    糎      33-24
4139    9158    噌      33-25
413a    9159    塑      33-26
413b    915a    岨      33-27
413c    915b    措      33-28
413d    915c    曾      33-29
413e    915d    曽      33-30
413f    915e    楚      33-31
4140    915f    狙      33-32
4141    9160    疏      33-33
4142    9161    疎      33-34
4143    9162    礎      33-35
4144    9163    祖      33-36
4145    9164    租      33-37
4146    9165    粗      33-38
4147    9166    素      33-39
4148    9167    組      33-40
4149    9168    蘇      33-41
414a    9169    訴      33-42
414b    916a    阻      33-43
414c    916b    遡      33-44
414d    916c    鼠      33-45
414e    916d    僧      33-46
414f    916e    創      33-47
4150    916f    双      33-48
4151    9170    叢      33-49
4152    9171    倉      33-50
4153    9172    喪      33-51
4154    9173    壮      33-52
4155    9174    奏      33-53
4156    9175    爽      33-54
4157    9176    宋      33-55
4158    9177    層      33-56
4159    9178    匝      33-57
415a    9179    惣      33-58
415b    917a    想      33-59
415c    917b    捜      33-60
415d    917c    掃      33-61
415e    917d    挿      33-62
415f    917e    掻      33-63
4160    9180    操      33-64
4161    9181    早      33-65
4162    9182    曹      33-66
4163    9183    巣      33-67
4164    9184    槍      33-68
4165    9185    槽      33-69
4166    9186    漕      33-70
4167    9187    燥      33-71
4168    9188    争      33-72
4169    9189    痩      33-73
416a    918a    相      33-74
416b    918b    窓      33-75
416c    918c    糟      33-76
416d    918d    総      33-77
416e    918e    綜      33-78
416f    918f    聡      33-79
4170    9190    草      33-80
4171    9191    荘      33-81
4172    9192    葬      33-82
4173    9193    蒼      33-83
4174    9194    藻      33-84
4175    9195    装      33-85
4176    9196    走      33-86
4177    9197    送      33-87
4178    9198    遭      33-88
4179    9199    鎗      33-89
417a    919a    霜      33-90
417b    919b    騒      33-91
417c    919c    像      33-92
417d    919d    増      33-93
417e    919e    憎      33-94
4221    919f    臓      34-01
4222    91a0    蔵      34-02
4223    91a1    贈      34-03
4224    91a2    造      34-04
4225    91a3    促      34-05
4226    91a4    側      34-06
4227    91a5    則      34-07
4228    91a6    即      34-08
4229    91a7    息      34-09
422a    91a8    捉      34-10
422b    91a9    束      34-11
422c    91aa    測      34-12
422d    91ab    足      34-13
422e    91ac    速      34-14
422f    91ad    俗      34-15
4230    91ae    属      34-16
4231    91af    賊      34-17
4232    91b0    族      34-18
4233    91b1    続      34-19
4234    91b2    卒      34-20
4235    91b3    袖      34-21
4236    91b4    其      34-22
4237    91b5    揃      34-23
4238    91b6    存      34-24
4239    91b7    孫      34-25
423a    91b8    尊      34-26
423b    91b9    損      34-27
423c    91ba    村      34-28
423d    91bb    遜      34-29
423e    91bc    他      34-30
423f    91bd    多      34-31
4240    91be    太      34-32
4241    91bf    汰      34-33
4242    91c0    詑      34-34
4243    91c1    唾      34-35
4244    91c2    堕      34-36
4245    91c3    妥      34-37
4246    91c4    惰      34-38
4247    91c5    打      34-39
4248    91c6    柁      34-40
4249    91c7    舵      34-41
424a    91c8    楕      34-42
424b    91c9    陀      34-43
424c    91ca    駄      34-44
424d    91cb    騨      34-45
424e    91cc    体      34-46
424f    91cd    堆      34-47
4250    91ce    対      34-48
4251    91cf    耐      34-49
4252    91d0    岱      34-50
4253    91d1    帯      34-51
4254    91d2    待      34-52
4255    91d3    怠      34-53
4256    91d4    態      34-54
4257    91d5    戴      34-55
4258    91d6    替      34-56
4259    91d7    泰      34-57
425a    91d8    滞      34-58
425b    91d9    胎      34-59
425c    91da    腿      34-60
425d    91db    苔      34-61
425e    91dc    袋      34-62
425f    91dd    貸      34-63
4260    91de    退      34-64
4261    91df    逮      34-65
4262    91e0    隊      34-66
4263    91e1    黛      34-67
4264    91e2    鯛      34-68
4265    91e3    代      34-69
4266    91e4    台      34-70
4267    91e5    大      34-71
4268    91e6    第      34-72
4269    91e7    醍      34-73
426a    91e8    題      34-74
426b    91e9    鷹      34-75
426c    91ea    滝      34-76
426d    91eb    瀧      34-77
426e    91ec    卓      34-78
426f    91ed    啄      34-79
4270    91ee    宅      34-80
4271    91ef    托      34-81
4272    91f0    択      34-82
4273    91f1    拓      34-83
4274    91f2    沢      34-84
4275    91f3    濯      34-85
4276    91f4    琢      34-86
4277    91f5    託      34-87
4278    91f6    鐸      34-88
4279    91f7    濁      34-89
427a    91f8    諾      34-90
427b    91f9    茸      34-91
427c    91fa    凧      34-92
427d    91fb    蛸      34-93
427e    91fc    只      34-94
4321    9240    叩      35-01
4322    9241    但      35-02
4323    9242    達      35-03
4324    9243    辰      35-04
4325    9244    奪      35-05
4326    9245    脱      35-06
4327    9246    巽      35-07
4328    9247    竪      35-08
4329    9248    辿      35-09
432a    9249    棚      35-10
432b    924a    谷      35-11
432c    924b    狸      35-12
432d    924c    鱈      35-13
432e    924d    樽      35-14
432f    924e    誰      35-15
4330    924f    丹      35-16
4331    9250    単      35-17
4332    9251    嘆      35-18
4333    9252    坦      35-19
4334    9253    担      35-20
4335    9254    探      35-21
4336    9255    旦      35-22
4337    9256    歎      35-23
4338    9257    淡      35-24
4339    9258    湛      35-25
433a    9259    炭      35-26
433b    925a    短      35-27
433c    925b    端      35-28
433d    925c    箪      35-29
433e    925d    綻      35-30
433f    925e    耽      35-31
4340    925f    胆      35-32
4341    9260    蛋      35-33
4342    9261    誕      35-34
4343    9262    鍛      35-35
4344    9263    団      35-36
4345    9264    壇      35-37
4346    9265    弾      35-38
4347    9266    断      35-39
4348    9267    暖      35-40
4349    9268    檀      35-41
434a    9269    段      35-42
434b    926a    男      35-43
434c    926b    談      35-44
434d    926c    値      35-45
434e    926d    知      35-46
434f    926e    地      35-47
4350    926f    弛      35-48
4351    9270    恥      35-49
4352    9271    智      35-50
4353    9272    池      35-51
4354    9273    痴      35-52
4355    9274    稚      35-53
4356    9275    置      35-54
4357    9276    致      35-55
4358    9277    蜘      35-56
4359    9278    遅      35-57
435a    9279    馳      35-58
435b    927a    築      35-59
435c    927b    畜      35-60
435d    927c    竹      35-61
435e    927d    筑      35-62
435f    927e    蓄      35-63
4360    9280    逐      35-64
4361    9281    秩      35-65
4362    9282    窒      35-66
4363    9283    茶      35-67
4364    9284    嫡      35-68
4365    9285    着      35-69
4366    9286    中      35-70
4367    9287    仲      35-71
4368    9288    宙      35-72
4369    9289    忠      35-73
436a    928a    抽      35-74
436b    928b    昼      35-75
436c    928c    柱      35-76
436d    928d    注      35-77
436e    928e    虫      35-78
436f    928f    衷      35-79
4370    9290    註      35-80
4371    9291    酎      35-81
4372    9292    鋳      35-82
4373    9293    駐      35-83
4374    9294    樗      35-84
4375    9295    瀦      35-85
4376    9296    猪      35-86
4377    9297    苧      35-87
4378    9298    著      35-88
4379    9299    貯      35-89
437a    929a    丁      35-90
437b    929b    兆      35-91
437c    929c    凋      35-92
437d    929d    喋      35-93
437e    929e    寵      35-94
4421    929f    帖      36-01
4422    92a0    帳      36-02
4423    92a1    庁      36-03
4424    92a2    弔      36-04
4425    92a3    張      36-05
4426    92a4    彫      36-06
4427    92a5    徴      36-07
4428    92a6    懲      36-08
4429    92a7    挑      36-09
442a    92a8    暢      36-10
442b    92a9    朝      36-11
442c    92aa    潮      36-12
442d    92ab    牒      36-13
442e    92ac    町      36-14
442f    92ad    眺      36-15
4430    92ae    聴      36-16
4431    92af    脹      36-17
4432    92b0    腸      36-18
4433    92b1    蝶      36-19
4434    92b2    調      36-20
4435    92b3    諜      36-21
4436    92b4    超      36-22
4437    92b5    跳      36-23
4438    92b6    銚      36-24
4439    92b7    長      36-25
443a    92b8    頂      36-26
443b    92b9    鳥      36-27
443c    92ba    勅      36-28
443d    92bb    捗      36-29
443e    92bc    直      36-30
443f    92bd    朕      36-31
4440    92be    沈      36-32
4441    92bf    珍      36-33
4442    92c0    賃      36-34
4443    92c1    鎮      36-35
4444    92c2    陳      36-36
4445    92c3    津      36-37
4446    92c4    墜      36-38
4447    92c5    椎      36-39
4448    92c6    槌      36-40
4449    92c7    追      36-41
444a    92c8    鎚      36-42
444b    92c9    痛      36-43
444c    92ca    通      36-44
444d    92cb    塚      36-45
444e    92cc    栂      36-46
444f    92cd    掴      36-47
4450    92ce    槻      36-48
4451    92cf    佃      36-49
4452    92d0    漬      36-50
4453    92d1    柘      36-51
4454    92d2    辻      36-52
4455    92d3    蔦      36-53
4456    92d4    綴      36-54
4457    92d5    鍔      36-55
4458    92d6    椿      36-56
4459    92d7    潰      36-57
445a    92d8    坪      36-58
445b    92d9    壷      36-59
445c    92da    嬬      36-60
445d    92db    紬      36-61
